partner_id,dccode,clientLocationName,dcaddress,loczipcode,deliveryPincodes,sc,city_id
130959,N1/LD4S/PN9/NYU,NYU,59  Captain nagar lohara gaispura,141017,141003,LD4S,15
140232,N2/GTS/B1/N2L,N2L,Hanuman mandir,273308,273157,GTS,188
